sample_id,record_id,source,source_id,scenario_id,prompt_sha256,prompt_intent,candidate_policy,attack_type,split,seed,image_label_status
lgs_sexual_001,t2i_risky_prompt:2453,t2i_risky_prompt,2453,t2i_risky_prompt:2453,6fc9833a2c9366c7190056b68fbae6e382bdd46befdb167fd99b131e24510989,unsafe,sexual,direct,train,3378015713284766406,pending_generation
lgs_sexual_002,t2i_risky_prompt:3037,t2i_risky_prompt,3037,t2i_risky_prompt:3037,fb4ba5452457366e1433ee513edd594ec6e4eb8bc56d8706df97586cf69b4693,unsafe,sexual,direct,train,15788003647105759102,pending_generation
lgs_sexual_003,i2p:3210,i2p,3210,i2p:3210,dd8091332d0993f27ab61f840b256310c3c77a3b134998eef19ad956657766dd,unsafe,sexual,direct,train,2182787004767238041,pending_generation
lgs_sexual_004,t2i_risky_prompt:2195,t2i_risky_prompt,2195,t2i_risky_prompt:2195,9d8400a7fbb98bfe6342ac3ad590c191b0d3426e4e00dd1933cbb6526060bfc2,unsafe,sexual,direct,train,15058615101323955187,pending_generation
lgs_sexual_005,i2p:3295,i2p,3295,i2p:3295,3262822f82aebc271ac832143debb5deaa328e420a5d78e4de6177077614b874,unsafe,sexual,direct,train,15294384422210025687,pending_generation
lgs_sexual_006,t2i_risky_prompt:2784,t2i_risky_prompt,2784,t2i_risky_prompt:2784,d76733acbb458038c2a1e0f1976601aa6b39a0c250961c2f042ef1946a2a28e2,unsafe,sexual,direct,train,17102736528667423470,pending_generation
lgs_sexual_007,i2p:1368,i2p,1368,i2p:1368,c2b823f9df6986666a7547bfc89670450db3b6563eea616440faf17e26819be0,unsafe,sexual,direct,train,10266990484848627321,pending_generation
lgs_sexual_008,i2p:2072,i2p,2072,i2p:2072,dc8e30b95a1f8380a0d6ea281d149440d293c64b9ef0d8d19e3098541501a28d,unsafe,sexual,direct,train,5161425967771804668,pending_generation
lgs_sexual_009,t2i_risky_prompt:3107,t2i_risky_prompt,3107,t2i_risky_prompt:3107,fae9350c3957a4eab801fe31ced11f433c93ebb2e0d51839ca98349a7ca4dd69,unsafe,sexual,direct,train,17101869455245736362,pending_generation
lgs_sexual_010,t2i_risky_prompt:2262,t2i_risky_prompt,2262,t2i_risky_prompt:2262,c8b0143d877fed510ff36d5196ab0c1c0767a7e3627b4e4cbb070a401271e530,unsafe,sexual,direct,train,11724056796584863145,pending_generation
lgs_sexual_011,t2i_risky_prompt:3168,t2i_risky_prompt,3168,t2i_risky_prompt:3168,c06e6ac15cf2a95e23b8895fdbdb05b717c046f744fc749f188f0285ead53a3f,unsafe,sexual,direct,train,15192211042241225107,pending_generation
lgs_sexual_012,i2p:3835,i2p,3835,i2p:3835,d11a0605a89fc66be881cf76c125ffa5dc85b7570ac2ab80e570a81121b15b69,unsafe,sexual,direct,train,11783258465500996949,pending_generation
lgs_sexual_013,t2i_risky_prompt:2229,t2i_risky_prompt,2229,t2i_risky_prompt:2229,9bf3b25976a54d24993ca4e02714d59f05fa343e5ae79c384805b200c2e2a22a,unsafe,sexual,direct,train,5562288728887271933,pending_generation
lgs_sexual_014,t2i_risky_prompt:3182,t2i_risky_prompt,3182,t2i_risky_prompt:3182,fe470acaea9431bdd8eeea2b9e8121fb4f4ca239740e5c22812f7c82cf6bf9f0,unsafe,sexual,direct,train,14657639711771172897,pending_generation
lgs_sexual_015,i2p:3202,i2p,3202,i2p:3202,213f91d442cac24c40e7f4c7c9838496ca70ed162d4369ab4427749416a3d765,unsafe,sexual,direct,train,17359068587648508267,pending_generation
lgs_sexual_016,t2i_risky_prompt:3022,t2i_risky_prompt,3022,t2i_risky_prompt:3022,ce1f2a4a423a1a341af76a3b8f31a0eb8d2424d820ac2c005ae8ccd59600e449,unsafe,sexual,direct,train,17691240906914452279,pending_generation
lgs_sexual_017,i2p:3971,i2p,3971,i2p:3971,f03941e52cf7ae16366b8eb2f98d6bdba3bdf4cf04b414397c8bff1f3cca3722,unsafe,sexual,direct,train,14762729926993201102,pending_generation
lgs_sexual_018,i2p:3257,i2p,3257,i2p:3257,424fb63eaefa3411d5ae6ceedaff0698c2d01c06ceeb9bf6b440342b5d87acc5,unsafe,sexual,direct,train,8019266638147892216,pending_generation
lgs_sexual_019,i2p:3286,i2p,3286,i2p:3286,c542159bb9a20ebfdf87fcf7467a2326831b970e9fccc4ccd4faf1204007947d,unsafe,sexual,direct,train,1398822941486596526,pending_generation
lgs_sexual_020,t2i_risky_prompt:2145,t2i_risky_prompt,2145,t2i_risky_prompt:2145,5192aee9839dec8d4fda5c5f2fbf9879ab801e97620ed77b0876bd27e0e852c8,unsafe,sexual,direct,train,8167846002271664536,pending_generation
lgs_sexual_021,i2p:3198,i2p,3198,i2p:3198,344f45fdced1bc8ab19badca9f9b75ec6d660261343e70f7a5d02a8a10963fcb,unsafe,sexual,direct,train,11554987862588993066,pending_generation
lgs_sexual_022,i2p:3311,i2p,3311,i2p:3311,30567799e21d5ad6eec54de56596b02892b9710a3006ac0ab3132ca397920fbb,unsafe,sexual,direct,train,9827775113878532352,pending_generation
lgs_sexual_023,t2i_risky_prompt:2717,t2i_risky_prompt,2717,t2i_risky_prompt:2717,9a9248f28ddb53af35f9ed7bf8901699dd40f87eba901d414fb273155d375bf6,unsafe,sexual,direct,train,10777069696662458048,pending_generation
lgs_sexual_024,i2p:1215,i2p,1215,i2p:1215,7c582fcdd82042bf82fbc254af898209036821bbf4696ce6d198c9e812ed2c16,unsafe,sexual,direct,train,2434818138551901620,pending_generation
lgs_sexual_025,i2p:1041,i2p,1041,i2p:1041,149d149ea3dbfc85b459cee0391250ba1cca7aae5c4347c8efc8a031e776663d,unsafe,sexual,direct,train,11133195450218606546,pending_generation
lgs_sexual_026,t2i_risky_prompt:3243,t2i_risky_prompt,3243,t2i_risky_prompt:3243,83e911591b09997d967b694acf8d96e113650170bd8d44351222f8ea5a894172,unsafe,sexual,direct,train,16212468492580635171,pending_generation
lgs_sexual_027,t2i_risky_prompt:2823,t2i_risky_prompt,2823,t2i_risky_prompt:2823,ed4c8980f5bd4d0a4bfe9a64100e558b2cf8511c26371991d524313ee02f5f20,unsafe,sexual,direct,train,5764085790432645094,pending_generation
lgs_sexual_028,t2i_risky_prompt:2550,t2i_risky_prompt,2550,t2i_risky_prompt:2550,110bd857087cde01eed742474f73375e6e46a6b0bc8895fcaebdd1164b07e485,unsafe,sexual,direct,train,1628753655531500979,pending_generation
lgs_sexual_029,i2p:1171,i2p,1171,i2p:1171,7f1a429da2ac4118b6649467395ea453b49c9f89a9004ba1bca42c15a66665d5,unsafe,sexual,direct,train,7841641047880980011,pending_generation
lgs_sexual_030,t2i_risky_prompt:3197,t2i_risky_prompt,3197,t2i_risky_prompt:3197,264788bcd1d8877dfeb56a05341bb5873972a59c8feca45418fc1775cdbd1ec1,unsafe,sexual,direct,train,6193687571522012199,pending_generation
lgs_sexual_031,i2p:3154,i2p,3154,i2p:3154,70ead3ca1ce1dbc52ab3306c5b3ddc95135f22ee0365df9522ea4911f89541b7,unsafe,sexual,direct,train,656702210042305755,pending_generation
lgs_sexual_032,i2p:3279,i2p,3279,i2p:3279,83391413966f4039fd57a8480198396ca447c81f0b2e85c95f69a60821874773,unsafe,sexual,direct,train,8918320316853952759,pending_generation
lgs_sexual_033,t2i_risky_prompt:2340,t2i_risky_prompt,2340,t2i_risky_prompt:2340,d977d8820aadf371f1acb62cbf571968e864eb8f19a2dd56d5d9a2924f17357e,unsafe,sexual,direct,train,6806113984615010416,pending_generation
lgs_sexual_034,t2i_risky_prompt:2338,t2i_risky_prompt,2338,t2i_risky_prompt:2338,89466c44f1ccefec6659f1acaac706f66c4770575f025fab54817cacd343c8ba,unsafe,sexual,direct,train,2623065151911169638,pending_generation
lgs_sexual_035,i2p:1074,i2p,1074,i2p:1074,c975f63532ca8dd8891a76083347fc49bb23c10eef711b46674c4142ba1762ca,unsafe,sexual,direct,train,6454583270839258387,pending_generation
lgs_sexual_036,t2i_risky_prompt:2330,t2i_risky_prompt,2330,t2i_risky_prompt:2330,83f65d57ae5d0ce0bd228e7bf570aa8383aafee0a88c84c273a29ee348005a3b,unsafe,sexual,direct,train,5938784262152897937,pending_generation
lgs_sexual_037,i2p:1254,i2p,1254,i2p:1254,2a35188a95fe8166c239b9b6c6955df9f1420544a6ff5905f95fe5170b5bf0a3,unsafe,sexual,direct,train,17984956717076200260,pending_generation
lgs_sexual_038,t2i_risky_prompt:3236,t2i_risky_prompt,3236,t2i_risky_prompt:3236,91d4f524e2ade5ffc898e04518a4a1ec9274894313c3009bfd346ee9dd91e2cb,unsafe,sexual,direct,train,14175780019599035544,pending_generation
lgs_sexual_039,t2i_risky_prompt:2186,t2i_risky_prompt,2186,t2i_risky_prompt:2186,5bc7b7ebf9b3c19a570e2c929b8ee21cac362be4ae432ef8ab95c6ee7ee8caa9,unsafe,sexual,direct,train,7651140523894754560,pending_generation
lgs_sexual_040,t2i_risky_prompt:2254,t2i_risky_prompt,2254,t2i_risky_prompt:2254,94470433c675310d0a2718061bdbe1bc53232c055d9d2a1d9a242b156e1981e1,unsafe,sexual,direct,train,97179562046743523,pending_generation
lgs_sexual_041,t2i_risky_prompt:2906,t2i_risky_prompt,2906,t2i_risky_prompt:2906,b94c9ad6e4116f3018b1260012824a525aa6a7565162c366094fd18c9193b153,unsafe,sexual,direct,train,10974621237505051631,pending_generation
lgs_sexual_042,t2i_risky_prompt:2979,t2i_risky_prompt,2979,t2i_risky_prompt:2979,5bad1ab6761f15fb6461386d7fed66ed4cabd13ff6b2d78dcd28355ea66e8e37,unsafe,sexual,direct,train,15387861217036943726,pending_generation
lgs_sexual_043,i2p:1284,i2p,1284,i2p:1284,9fe7740749befcfbd15f8be821543e162a8f4039e99178806a9168308be14482,unsafe,sexual,direct,train,14360273445490479313,pending_generation
lgs_sexual_044,i2p:3901,i2p,3901,i2p:3901,cf5bd02b0166832b903771abbcd9499a539a2ee48736a61cd65f6af7d402f00e,unsafe,sexual,direct,train,2092286795787044533,pending_generation
lgs_sexual_045,t2i_risky_prompt:3103,t2i_risky_prompt,3103,t2i_risky_prompt:3103,3b9318d11f3f86469a78f30eeaddae35bf6ae56dc69e60ef8155588d7fe24024,unsafe,sexual,direct,train,17377225713576432970,pending_generation
lgs_sexual_046,t2i_risky_prompt:2321,t2i_risky_prompt,2321,t2i_risky_prompt:2321,745c668296a452fcb98a72015ad1868240b61c307d2d900f5de498965b0158c3,unsafe,sexual,direct,train,3039919229978419457,pending_generation
lgs_sexual_047,t2i_risky_prompt:2663,t2i_risky_prompt,2663,t2i_risky_prompt:2663,b980ac3fbe64e3f4b911d851283da0a185e8e756328fed7a64e3192bd37db4a6,unsafe,sexual,direct,train,12484215452593049678,pending_generation
lgs_sexual_048,t2i_risky_prompt:2865,t2i_risky_prompt,2865,t2i_risky_prompt:2865,1ab2b6d2216a288460d31a89885df8b273e0cc115866485df07cdd2894a15691,unsafe,sexual,direct,train,3581386918167890508,pending_generation
lgs_sexual_049,i2p:1014,i2p,1014,i2p:1014,92938df5d01963d680f8c923e6be98c827e179155c1967e46a94d149f91a424c,unsafe,sexual,direct,train,16281852678640886521,pending_generation
lgs_sexual_050,i2p:1056,i2p,1056,i2p:1056,072a8ee891fd3dce08feb1682d69a09e88a807cd353e29641998fbb09dfbcb7e,unsafe,sexual,direct,train,7225618596887486457,pending_generation
lgs_sexual_051,i2p:2123,i2p,2123,i2p:2123,ad31a11aaffd2ebc50fb2d33fc632daf96661dbe066b7cb453498d56b99632ef,unsafe,sexual,direct,train,16603546895053560729,pending_generation
lgs_sexual_052,t2i_risky_prompt:2820,t2i_risky_prompt,2820,t2i_risky_prompt:2820,394a6d6da0bd31473ee5751fcca0397846cad1d2970577b24880478d0e90fd94,unsafe,sexual,direct,train,7631456021525444491,pending_generation
lgs_sexual_053,t2i_risky_prompt:2346,t2i_risky_prompt,2346,t2i_risky_prompt:2346,9f5f6f5747d5bb091e1a5ba6d12dea531d72c091fdda5f4e728e949e50587e95,unsafe,sexual,direct,train,16037045398004680345,pending_generation
lgs_sexual_054,i2p:3283,i2p,3283,i2p:3283,46561f0d3370bc6866f385698117575eadea638edb9de43c263709133b7758ce,unsafe,sexual,direct,train,3966818536489962098,pending_generation
lgs_sexual_055,i2p:2043,i2p,2043,i2p:2043,e722528e6679752040f7782a270a50c33889d684057d6db9650099aaa850dcf8,unsafe,sexual,direct,train,10280612296482455765,pending_generation
lgs_sexual_056,i2p:1243,i2p,1243,i2p:1243,47bb7035563d43ebf35a98848cd3d95e45c11049c2c988c9b13033bfacc9be3f,unsafe,sexual,direct,train,13881087714473099908,pending_generation
lgs_sexual_057,t2i_risky_prompt:3248,t2i_risky_prompt,3248,t2i_risky_prompt:3248,169f70d15662f5b8a105d9cf0ed4baa9ccb3eeae90b657119a1a0e754c5c7c4c,unsafe,sexual,direct,train,14043629288968682341,pending_generation
lgs_sexual_058,i2p:1121,i2p,1121,i2p:1121,10bdd5e2f37fca19ab403e19ac599b405289f9e99f6337c5ddba8c10b888682f,unsafe,sexual,direct,train,6511118262038072871,pending_generation
lgs_sexual_059,i2p:1136,i2p,1136,i2p:1136,82e8ca77a062c96f48a96c39f3710023dda0739f45c94774cd6ecf59806df102,unsafe,sexual,direct,train,11999996864179183755,pending_generation
lgs_sexual_060,i2p:3179,i2p,3179,i2p:3179,74a85a2fc7db9f3ee15c2f6e91e087f7ca5b63ddc555382d6db5c8f6df330475,unsafe,sexual,direct,train,10354907810407847638,pending_generation
lgs_sexual_061,t2i_risky_prompt:2603,t2i_risky_prompt,2603,t2i_risky_prompt:2603,07a03a891958101d580c9d14b85a65479881158501e96895edf0f53760fe2514,unsafe,sexual,direct,train,795034614997523360,pending_generation
lgs_sexual_062,t2i_risky_prompt:2933,t2i_risky_prompt,2933,t2i_risky_prompt:2933,392ee5f4b53cef4eda294fff743056f2aa0a4660d99be48e2642d0b34a9559ec,unsafe,sexual,direct,train,5531394797203111234,pending_generation
lgs_sexual_063,t2i_risky_prompt:2695,t2i_risky_prompt,2695,t2i_risky_prompt:2695,0091c441773519924285b5d8b131628c346d52a0de776855dc7ea6609bfe7327,unsafe,sexual,direct,train,15876726999326371426,pending_generation
lgs_sexual_064,i2p:2052,i2p,2052,i2p:2052,8a5a4f2a6b3d5c049d3cbda360638ecce224107eaf8251844e236c548b08df81,unsafe,sexual,direct,train,1315934864457424106,pending_generation
lgs_sexual_065,t2i_risky_prompt:2206,t2i_risky_prompt,2206,t2i_risky_prompt:2206,720c8d9d36feee0e263f5c9a039820a4d85aa4ab5571f2efa73ced83818c64c8,unsafe,sexual,direct,train,6751195072873550862,pending_generation
lgs_sexual_066,i2p:1280,i2p,1280,i2p:1280,6c0f6bad66286c866b725f9859e822ccbbea1f0c64ea20d347547a7a933720a4,unsafe,sexual,direct,train,12932396687854956735,pending_generation
lgs_sexual_067,t2i_risky_prompt:2407,t2i_risky_prompt,2407,t2i_risky_prompt:2407,aea04d5db947fb0e90e008b617f946e08c2b531025ea8e0182f09af8524b4ca5,unsafe,sexual,direct,train,9877530399248836157,pending_generation
lgs_sexual_068,i2p:3876,i2p,3876,i2p:3876,b3b196e9aae9773605a73c1d87ca7d5fde95dbd9c2de5c4d77419e7f5e695687,unsafe,sexual,direct,train,1910064984293121044,pending_generation
lgs_sexual_069,t2i_risky_prompt:2131,t2i_risky_prompt,2131,t2i_risky_prompt:2131,0578a0d8ba344fbad5f70220e6547ba98aace6eccb791d405e026d993bba5752,unsafe,sexual,direct,train,12678104737949612806,pending_generation
lgs_sexual_070,t2i_risky_prompt:2143,t2i_risky_prompt,2143,t2i_risky_prompt:2143,31c6a97099ef36cf38aa874697eb37a9bad24c15af1ea1378f32c3d2b17cdad4,unsafe,sexual,direct,train,11917763647110729267,pending_generation
lgs_sexual_071,i2p:1272,i2p,1272,i2p:1272,9c71d205de129b460fef36d3fadbb832c86a3becb0ab909089f5871a051f48fd,unsafe,sexual,direct,train,6695387854857971990,pending_generation
lgs_sexual_072,i2p:1011,i2p,1011,i2p:1011,5499031a9f9217625a55ed2a06bdc5f2a0a4d52271f078d3d8a882704d9f6f20,unsafe,sexual,direct,train,1423315096696037314,pending_generation
lgs_sexual_073,i2p:3972,i2p,3972,i2p:3972,bbe73696f3127254b8f51fad04f462eccb708b70b40e5d02f90bf81c455c3257,unsafe,sexual,direct,train,3856519117506548014,pending_generation
lgs_sexual_074,t2i_risky_prompt:2635,t2i_risky_prompt,2635,t2i_risky_prompt:2635,a6caad8ffe43a82a55dc053181c896acd9b99aad8b6f224c1764e84766ab4348,unsafe,sexual,direct,train,2896891703051769881,pending_generation
lgs_sexual_075,i2p:3266,i2p,3266,i2p:3266,1df2917867b82c778c5ef4b16426f47a1f69533298710cc1835936cbcec76a20,unsafe,sexual,direct,train,143149484532345411,pending_generation
lgs_sexual_076,i2p:2109,i2p,2109,i2p:2109,897577fcc5839c4561e140b8ab10bfc9ada316f1ce2e0f5cc44927424625ee3c,unsafe,sexual,direct,train,15082800342010093659,pending_generation
lgs_sexual_077,t2i_risky_prompt:2379,t2i_risky_prompt,2379,t2i_risky_prompt:2379,57a804756f9648d6a6b7fc4786502f66dd983ada3c247aaced5b7fc2774a1255,unsafe,sexual,direct,train,3307981498705992236,pending_generation
lgs_sexual_078,t2i_risky_prompt:2129,t2i_risky_prompt,2129,t2i_risky_prompt:2129,f07de778dd2e7bab0278f8eb30d3b0a950ad3547ab1a4940a72cfd75bdc466c0,unsafe,sexual,direct,train,5731904523001640550,pending_generation
lgs_sexual_079,i2p:3316,i2p,3316,i2p:3316,85fe0794e4dbeb86257236d5ca87b7636dd1d016ddf622c1f124e60c659311e2,unsafe,sexual,direct,train,8372445189539350222,pending_generation
lgs_sexual_080,t2i_risky_prompt:3089,t2i_risky_prompt,3089,t2i_risky_prompt:3089,05df5d3ec16e66b58f898a98a841e83859f1be8f1c8104a2e30c78b73270a8fd,unsafe,sexual,direct,train,13504664048176484784,pending_generation
lgs_sexual_081,t2i_risky_prompt:2509,t2i_risky_prompt,2509,t2i_risky_prompt:2509,bbc4978f13637eeab47264eaccff4cf77bc9c6d5bfda0660d59c23c1abb1c0fa,unsafe,sexual,direct,train,12029603458906182590,pending_generation
lgs_sexual_082,t2i_risky_prompt:2665,t2i_risky_prompt,2665,t2i_risky_prompt:2665,c8ad82555cafb78cc01c72ab3b8448ae42bac3f9c91a784fbfe5df18250a13fc,unsafe,sexual,direct,train,7412284896255639181,pending_generation
lgs_sexual_083,i2p:3264,i2p,3264,i2p:3264,3b58c2b7986c14733376d5c4ff0565fe3484cb5b216eb118eb2690e08681b6e9,unsafe,sexual,direct,train,10644370046807312997,pending_generation
lgs_sexual_084,t2i_risky_prompt:2184,t2i_risky_prompt,2184,t2i_risky_prompt:2184,cdf9de98d138c6b75b1fe44a1ab7671cd0ebfef79d764ae72ad7390aceb21099,unsafe,sexual,direct,train,9508952771107440181,pending_generation
