sample_id,record_id,source,source_id,scenario_id,prompt_sha256,prompt_intent,candidate_policy,attack_type,split,seed,image_label_status
lgss_sexual_001,i2p:1089,i2p,1089,i2p:1089,746fe820365525686694641b32c7049cd01449b4e08ddfafb95eddf9f012cd76,unsafe,sexual,direct,train,4739764499171978806,pending_generation
lgss_sexual_002,t2i_risky_prompt:2904,t2i_risky_prompt,2904,t2i_risky_prompt:2904,b1923c733f56a54b508a963ba0dc194b0fbd955fa9d5ce9a8d8008fdc51eeb6f,unsafe,sexual,direct,train,11848544511296352259,pending_generation
lgss_sexual_003,i2p:2022,i2p,2022,i2p:2022,afddc0eae463fd5a33039ebbe238f7f204d3da4cf993215ac871020de015a2da,unsafe,sexual,direct,train,15605788615953410552,pending_generation
lgss_sexual_004,t2i_risky_prompt:2280,t2i_risky_prompt,2280,t2i_risky_prompt:2280,454fad1ab186607ce94a32b7a75f06b70f41373ca177976fd6a95165c0325aa9,unsafe,sexual,direct,train,268226503158095510,pending_generation
lgss_sexual_005,i2p:1165,i2p,1165,i2p:1165,611a394f9eb999ab6f272d523bffe0c743697e401c9b1d2a0addf294724efa9c,unsafe,sexual,direct,train,17881081381404283292,pending_generation
lgss_sexual_006,i2p:3891,i2p,3891,i2p:3891,c4e0e1627f9e2fbab978451113b814123f31ca7e57efa173c2309c07c14f4718,unsafe,sexual,direct,train,3736987449718667567,pending_generation
lgss_sexual_007,i2p:1277,i2p,1277,i2p:1277,75c746b7bc05c781877d22ad7f9c9f130aea227aeaeec2f4b1581b2d4f63ce3a,unsafe,sexual,direct,train,10573060850246299927,pending_generation
lgss_sexual_008,i2p:1326,i2p,1326,i2p:1326,400ee77644cd9ba7078c698f0cb691e7ac54692e8db4d7741c984e7824fdb8ad,unsafe,sexual,direct,train,3627670605012380983,pending_generation
lgss_sexual_009,t2i_risky_prompt:2351,t2i_risky_prompt,2351,t2i_risky_prompt:2351,feafea0f972dbc4f45632c3dcdd7d11f642897932d42235842bade97f3009805,unsafe,sexual,direct,train,1961392542563102218,pending_generation
lgss_sexual_010,t2i_risky_prompt:2371,t2i_risky_prompt,2371,t2i_risky_prompt:2371,b61793985b9006031e3757dce7e0a85a6a160e51e4dc1d5c5df5acda0c7c56b7,unsafe,sexual,direct,train,18020511487607518814,pending_generation
lgss_sexual_011,t2i_risky_prompt:2771,t2i_risky_prompt,2771,t2i_risky_prompt:2771,412308a448b6f079b98d818428dbb674e18813075f67bf9347ecc5f2abfd9bab,unsafe,sexual,direct,train,13733680446696963014,pending_generation
lgss_sexual_012,i2p:1048,i2p,1048,i2p:1048,3ca96aa30eeee5526e55f38a2eaaea0063aeed8b0b58d5be53e5f9f2db828cb1,unsafe,sexual,direct,train,16412065148115725546,pending_generation
lgss_sexual_013,i2p:3232,i2p,3232,i2p:3232,31be1d35ad7eee1b7d7997509092d40d7d3867d124f11777e7925211f0dba4b3,unsafe,sexual,direct,train,986790463088602555,pending_generation
lgss_sexual_014,i2p:3898,i2p,3898,i2p:3898,575bc0f4a4f6315e6df935ebd111c2337c9c388ee2998231541688dcccdb5d3d,unsafe,sexual,direct,train,11274551310437463038,pending_generation
lgss_sexual_015,i2p:1313,i2p,1313,i2p:1313,af0505968d6de395032c08360e0d8f36966455d37c4c06daa0c30720c527b6a8,unsafe,sexual,direct,train,9212084020013422150,pending_generation
lgss_sexual_016,i2p:3181,i2p,3181,i2p:3181,59a7ef7382023e0b1af95724c15f60a594cd92e7fbdb624ccf634402658bba27,unsafe,sexual,direct,train,5519811627804402407,pending_generation
lgss_sexual_017,t2i_risky_prompt:2365,t2i_risky_prompt,2365,t2i_risky_prompt:2365,ec7e6cbf6e625217372da74f0d4426520ec2c7c4e2aea2cc88bd4a7f02c206d0,unsafe,sexual,direct,train,16581837116514436289,pending_generation
lgss_sexual_018,i2p:1311,i2p,1311,i2p:1311,d61b4bc8d374becd6ad761040397a11a8546b9569a1e888d38d9529bb63b9791,unsafe,sexual,direct,train,17703146125219428293,pending_generation
lgss_sexual_019,t2i_risky_prompt:3128,t2i_risky_prompt,3128,t2i_risky_prompt:3128,e31539d8adc6d363110fcce88d364299a762d43f79b9ec27b15c186d71631406,unsafe,sexual,direct,train,1728084039003463442,pending_generation
lgss_sexual_020,t2i_risky_prompt:2650,t2i_risky_prompt,2650,t2i_risky_prompt:2650,b88af1ec8573a47aa6b4a33d708cd7c99effd1e231a8c328f8186fcefa0de1b3,unsafe,sexual,direct,train,16335944007117552907,pending_generation
lgss_sexual_021,t2i_risky_prompt:3141,t2i_risky_prompt,3141,t2i_risky_prompt:3141,a008158316dc741feacebcc288f805229310035eb8d52945ad17ebfa7eb2a7e7,unsafe,sexual,direct,train,17327714347331487889,pending_generation
lgss_sexual_022,i2p:3166,i2p,3166,i2p:3166,867a9552b67ae3cb99c04955e227550125c85e546a5d6bd4e0c9603a6719f650,unsafe,sexual,direct,train,9945355497444974242,pending_generation
lgss_sexual_023,t2i_risky_prompt:2927,t2i_risky_prompt,2927,t2i_risky_prompt:2927,c44ca81543b87cec1758b26962e192a275ae54f4dd46495246cfeb181874e7d6,unsafe,sexual,direct,train,281075670112970064,pending_generation
lgss_sexual_024,t2i_risky_prompt:2348,t2i_risky_prompt,2348,t2i_risky_prompt:2348,ddd248b4a798ff888a741859df3cdc25d406d0359261b511de30296943336418,unsafe,sexual,direct,train,6866992657276212,pending_generation
lgss_sexual_025,t2i_risky_prompt:3071,t2i_risky_prompt,3071,t2i_risky_prompt:3071,cc3615cf82c372190793a1f0611b2f0b5989edb696089495e8f9e95ba97fda3b,unsafe,sexual,direct,train,10737901127274454773,pending_generation
lgss_sexual_026,t2i_risky_prompt:2224,t2i_risky_prompt,2224,t2i_risky_prompt:2224,316bbfe06d1960335bdba545ab8071e744eae11dc2c9e2ce38489c0233d6d06f,unsafe,sexual,direct,train,9435298866993411939,pending_generation
lgss_sexual_027,i2p:2026,i2p,2026,i2p:2026,edfb9a45fc934a4871197cda9b322fddba554efb26abebab426e60023099fda6,unsafe,sexual,direct,train,4702568480542697725,pending_generation
lgss_sexual_028,i2p:3157,i2p,3157,i2p:3157,d080c159a49f3f391f5c5d955ee9033b3d55f370cf3d71520b831a42db6d5b25,unsafe,sexual,direct,train,16502289103779551810,pending_generation
lgss_sexual_029,i2p:1375,i2p,1375,i2p:1375,848b143e0a62785b63c3afd39ea85742fe103d08374b4caed17313b0a9e99696,unsafe,sexual,direct,train,7490577692157867965,pending_generation
lgss_sexual_030,i2p:3975,i2p,3975,i2p:3975,bbe73696f3127254b8f51fad04f462eccb708b70b40e5d02f90bf81c455c3257,unsafe,sexual,direct,train,4866575363682861194,pending_generation
lgss_sexual_031,t2i_risky_prompt:2671,t2i_risky_prompt,2671,t2i_risky_prompt:2671,fc1c88622c10a661c7c5a6bf37073171ac92eebe9b584731316dd16eae6e2389,unsafe,sexual,direct,train,16422341258039324440,pending_generation
lgss_sexual_032,i2p:3916,i2p,3916,i2p:3916,1634b6668cc8497f217774fb001e3e4435922f6a59498ab98f7ca1faee1d5f29,unsafe,sexual,direct,train,9148080097033095107,pending_generation
lgss_sexual_033,t2i_risky_prompt:2871,t2i_risky_prompt,2871,t2i_risky_prompt:2871,9dcb146a22f298946fd59cc6d15aec42ddb1ac988d35d1fbf858a215d0c2bbb4,unsafe,sexual,direct,train,807852441766630720,pending_generation
lgss_sexual_034,i2p:1265,i2p,1265,i2p:1265,8377fdfa244380ac97c926fc0c5499ef38069ca0c263f890005bcd72c0d84c47,unsafe,sexual,direct,train,6583900261845887301,pending_generation
lgss_sexual_035,t2i_risky_prompt:2922,t2i_risky_prompt,2922,t2i_risky_prompt:2922,3b2b65c64622b0bc74142065315d064ad350db2b10a16de67f06d0d6ebd220aa,unsafe,sexual,direct,train,18266846568392475745,pending_generation
lgss_sexual_036,i2p:2160,i2p,2160,i2p:2160,394ca55afbb09875f83d771b55531d9a6ee7a7efa61b04e8c981e18c15ce7118,unsafe,sexual,direct,train,10358448911394257711,pending_generation
lgss_sexual_037,t2i_risky_prompt:2964,t2i_risky_prompt,2964,t2i_risky_prompt:2964,8469d5a169615161bd3f6e2c97864a7653f75ac2627fca8c3a683df5077c204e,unsafe,sexual,direct,train,7739887451715383286,pending_generation
lgss_sexual_038,t2i_risky_prompt:2502,t2i_risky_prompt,2502,t2i_risky_prompt:2502,f5b9830797c76cd8169b0e3dd162cc332eb1888aa6d76ed002423d9574c681d8,unsafe,sexual,direct,train,13449477956908836248,pending_generation
lgss_sexual_039,t2i_risky_prompt:2434,t2i_risky_prompt,2434,t2i_risky_prompt:2434,5d4193e9241eafbfca7aabc25ff6df1e1259a16f9c7a4de94ae4115e543478ba,unsafe,sexual,direct,train,4939666931436504363,pending_generation
lgss_sexual_040,i2p:1353,i2p,1353,i2p:1353,bb33faf46cfdc1161f819cfcab808e608bda5cca514e8de724af7dae41e5444d,unsafe,sexual,direct,train,12152253797119662812,pending_generation
